Date,Price,Open,High,Low,Vol.,Change %,Tomorrow
4/4/2013,15.28,15.49,15.54,15.19,358660000,-0.0097,15.11
4/5/2013,15.11,15.16,15.18,14.99,383690000,-0.0111,15.22
4/8/2013,15.22,15.17,15.27,15.09,301060000,0.0073,15.25
4/9/2013,15.25,15.23,15.3,15.1,306750000,0.002,15.56
4/10/2013,15.56,15.29,15.61,15.21,375930000,0.0203,15.51
4/11/2013,15.51,15.49,15.64,15.4,328620000,-0.0032,15.35
4/12/2013,15.35,15.51,15.51,15.32,238730000,-0.0103,14.99
4/15/2013,14.99,15.25,15.28,14.98,317520000,-0.0235,15.22
4/16/2013,15.22,15.06,15.24,15.02,305770000,0.0153,14.39
4/17/2013,14.39,15.01,15.02,14.22,945050000,-0.0545,14
4/18/2013,14,14.46,14.49,13.92,666300000,-0.0271,13.95
4/19/2013,13.95,13.86,14.27,13.75,609270000,-0.0036,14.24
4/22/2013,14.24,14.02,14.36,13.97,429920000,0.0208,14.5
4/23/2013,14.5,14.43,14.59,14.24,664240000,0.0183,14.48
4/24/2013,14.48,14.05,14.83,14.02,969830000,-0.0014,14.58
4/25/2013,14.58,14.69,14.78,14.54,384840000,0.0069,14.9
4/26/2013,14.9,14.64,14.96,14.58,764280000,0.0219,15.36
4/29/2013,15.36,15.02,15.49,15,640330000,0.0309,15.81
4/30/2013,15.81,15.54,15.9,15.43,691540000,0.0293,15.69
5/1/2013,15.69,15.87,15.89,15.51,507160000,-0.0076,15.91
5/2/2013,15.91,15.78,16.02,15.74,422030000,0.014,16.07
5/3/2013,16.07,16.12,16.19,16.04,361530000,0.0101,16.45
5/6/2013,16.45,16.28,16.51,16.23,496640000,0.0236,16.38
5/7/2013,16.38,16.61,16.63,16.2,483750000,-0.0043,16.57
5/8/2013,16.57,16.39,16.62,16.28,472600000,0.0116,16.31
5/9/2013,16.31,16.42,16.54,16.27,398750000,-0.0157,16.18
5/10/2013,16.18,16.36,16.42,16.09,334850000,-0.008,16.24
5/13/2013,16.24,16.13,16.35,16.12,317110000,0.0037,15.85
5/14/2013,15.85,16.21,16.26,15.79,447120000,-0.024,15.32
5/15/2013,15.32,15.68,15.75,15.08,741610000,-0.0334,15.52
5/16/2013,15.52,15.12,15.64,14.96,603470000,0.0131,15.47
5/17/2013,15.47,15.68,15.72,15.39,428080000,-0.0032,15.82
5/20/2013,15.82,15.43,15.92,15.36,451580000,0.0226,15.7
5/21/2013,15.7,15.65,15.91,15.51,456300000,-0.0076,15.76
5/22/2013,15.76,15.86,16.01,15.65,443260000,0.0038,15.79
5/23/2013,15.79,15.57,15.93,15.56,353380000,0.0019,15.9
